Tous	HP:0000001
Anomalie de la taille du corps	HP:0000002
Anomalie de la taille du corps	HP:0000002
Dysplasie rénale multikystique	HP:0000003
Rein dysplasique multikystique	HP:0000003
Reins multikystiques	HP:0000003
Dysplasie rénale multikystique	HP:0000003
Mode d'héritage	HP:0000005
Héritage	HP:0000005
Héritage autosomique dominant	HP:0000006
Autosomique dominant	HP:0000006
Forme autosomique dominante	HP:0000006
Type autosomique dominant	HP:0000006
Héritage autosomique récessif	HP:0000007
Autosomique récessif	HP:0000007
Forme autosomique récessive	HP:0000007
Prédisposition autosomique récessive	HP:0000007
Morphologie anormale des organes génitaux internes féminins	HP:0000008
Anomalie des organes génitaux internes féminins	HP:0000008
Anomalie fonctionnelle de la vessie	HP:0000009
Mauvaise fonction de la vessie	HP:0000009
Infections urinaires récurrentes	HP:0000010
Infections fréquentes des voies urinaires	HP:0000010
UTI récurrentes	HP:0000010
Infections vésicales répétées	HP:0000010
Infections urinaires à répétition	HP:0000010
Infections des voies urinaires	HP:0000010
Infections des voies urinaires, récurrentes	HP:0000010
Vessie neurogène	HP:0000011
Manque de contrôle de la vessie dû à une lésion du système nerveux	HP:0000011
Urgence urinaire	HP:0000012
Vessie hyperactive	HP:0000012
Syndrome de vessie hyperactive	HP:0000012
Syndrome de fréquence des urgences	HP:0000012
Urgence urinaire	HP:0000012
Hypoplasie de l'utérus	HP:0000013
Utérus hypoplasique	HP:0000013
Utérus rudimentaire	HP:0000013
Petit utérus	HP:0000013
Utérus sous-développé	HP:0000013
Anomalie de la vessie	HP:0000014
Diverticule vésical	HP:0000015
Diverticules vésicaux	HP:0000015
Rétention urinaire	HP:0000016
Augmentation du volume d'urine résiduelle post-mictionnelle	HP:0000016
Nycturie	HP:0000017
Nycturie	HP:0000017
Hésitation urinaire	HP:0000019
Difficulté avec le débit	HP:0000019
Incontinence urinaire	HP:0000020
Incontinence vésicale	HP:0000020
Perte de contrôle de la vessie	HP:0000020
Mégacystite	HP:0000021
Anomalie des organes génitaux internes masculins	HP:0000022
Hernie inguinale	HP:0000023
Prostatite	HP:0000024
