#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
4763	NF1	1	10.54	[{'HP:0002624': 0.2}, {'HP:0009732': 1.0}, {'HP:0030693': 0.2}, {'HP:0009592': 0.7}, {'HP:0100545': 0.7}, {'HP:0002315': 0.7}, {'HP:0000980': 0.5}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 1.0}, {'HP:0007663': 0.2}, {'HP:0009733': 1.0}, {'HP:0000822': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Plexiform neurofibroma': 1.0}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.7}, {'Arterial stenosis': 0.7}, {'Headache': 0.7}, {'Pallor': 0.5}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 1.0}, {'Reduced visual acuity': 0.2}, {'Glioma': 1.0}, {'Hypertension': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3845	KRAS	2	10.35	[{'HP:0002624': 0.7}, {'HP:0001270': 0.2}, {'HP:0009732': 0.5}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0012286': 0.2}, {'HP:0100545': 0.5}, {'HP:0001317': 0.2}, {'HP:0002315': 0.2}, {'HP:0001056': 0.5}, {'HP:0025502': 0.2}, {'HP:0001067': 0.5}, {'HP:0009733': 0.7}, {'HP:0000822': 0.5}]	[{'Abnormal venous morphology': 0.7}, {'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.5}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.2}, {'Milia': 0.5}, {'Overweight': 0.2}, {'Neurofibromas': 0.5}, {'Glioma': 0.7}, {'Hypertension': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
7157	TP53	3	9.98	[{'HP:0002624': 0.2}, {'HP:0001270': 0.2}, {'HP:0009732': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 1.0}, {'HP:0012286': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.7}, {'HP:0000980': 0.2}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 0.7}, {'HP:0009733': 1.0}, {'HP:0000822': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 1.0}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.7}, {'Pallor': 0.2}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 0.7}, {'Glioma': 1.0}, {'Hypertension': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
673	BRAF	4	8.72	[{'HP:0002624': 0.2}, {'HP:0001270': 0.2}, {'HP:0009732': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0012286': 0.5}, {'HP:0100545': 0.5}, {'HP:0001317': 0.2}, {'HP:0002315': 0.5}, {'HP:0000980': 0.2}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 0.2}, {'HP:0007663': 0.4}, {'HP:0001254': 0.2}, {'HP:0009733': 0.2}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.5}, {'Arterial stenosis': 0.5}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.5}, {'Pallor': 0.2}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 0.2}, {'Reduced visual acuity': 0.4}, {'Lethargy': 0.2}, {'Glioma': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5290	PIK3CA	5	8.29	[{'HP:0002624': 0.7}, {'HP:0009732': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0001317': 0.4}, {'HP:0002315': 0.5}, {'HP:0000980': 0.2}, {'HP:0001056': 0.5}, {'HP:0025502': 0.2}, {'HP:0001067': 0.7}, {'HP:0007663': 0.4}, {'HP:0009733': 0.5}]	[{'Abnormal venous morphology': 0.7}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Abnormal cerebellum morphology': 0.4}, {'Headache': 0.5}, {'Pallor': 0.2}, {'Milia': 0.5}, {'Overweight': 0.2}, {'Neurofibromas': 0.7}, {'Reduced visual acuity': 0.4}, {'Glioma': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3265	HRAS	6	7.86	[{'HP:0002624': 0.2}, {'HP:0001270': 0.2}, {'HP:0009732': 0.5}, {'HP:0030693': 0.2}, {'HP:0009592': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.6}, {'HP:0002315': 0.2}, {'HP:0000980': 0.2}, {'HP:0001067': 0.5}, {'HP:0007663': 0.2}, {'HP:0009733': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.6}, {'Headache': 0.2}, {'Pallor': 0.2}, {'Neurofibromas': 0.5}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5979	RET	7	7.46	[{'HP:0009732': 0.5}, {'HP:0030693': 0.2}, {'HP:0100545': 0.5}, {'HP:0002315': 0.7}, {'HP:0000980': 0.5}, {'HP:0001056': 0.5}, {'HP:0001067': 0.7}, {'HP:0009733': 0.2}, {'HP:0000822': 0.9}]	[{'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.2}, {'Arterial stenosis': 0.5}, {'Headache': 0.7}, {'Pallor': 0.5}, {'Milia': 0.5}, {'Neurofibromas': 0.7}, {'Glioma': 0.2}, {'Hypertension': 0.9}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3417	IDH1	8	7.45	[{'HP:0002624': 0.2}, {'HP:0001270': 0.4}, {'HP:0009732': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 1.0}, {'HP:0012286': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.2}, {'HP:0001056': 0.2}, {'HP:0001067': 0.7}, {'HP:0009733': 1.0}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.4}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 1.0}, {'Abnormal hypothalamus morphology': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.2}, {'Milia': 0.2}, {'Neurofibromas': 0.7}, {'Glioma': 1.0}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
7428	VHL	9	6.95	[{'HP:0002624': 0.5}, {'HP:0030693': 0.7}, {'HP:0009592': 0.2}, {'HP:0100545': 0.5}, {'HP:0001317': 0.2}, {'HP:0002315': 0.7}, {'HP:0000980': 0.5}, {'HP:0001056': 0.2}, {'HP:0001067': 0.5}, {'HP:0007663': 0.4}, {'HP:0000822': 0.9}]	[{'Abnormal venous morphology': 0.5}, {'Supratentorial neoplasm': 0.7}, {'Astrocytoma': 0.2}, {'Arterial stenosis': 0.5}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.7}, {'Pallor': 0.5}, {'Milia': 0.2}, {'Neurofibromas': 0.5}, {'Reduced visual acuity': 0.4}, {'Hypertension': 0.9}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5728	PTEN	10	6.67	[{'HP:0002624': 0.2}, {'HP:0001270': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.5}, {'HP:0012286': 0.2}, {'HP:0001317': 0.4}, {'HP:0002315': 0.7}, {'HP:0001056': 0.2}, {'HP:0001067': 0.5}, {'HP:0009733': 0.7}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.5}, {'Abnormal hypothalamus morphology': 0.2}, {'Abnormal cerebellum morphology': 0.4}, {'Headache': 0.7}, {'Milia': 0.2}, {'Neurofibromas': 0.5}, {'Glioma': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
6390	SDHB	11	6.6	[{'HP:0001270': 0.2}, {'HP:0009732': 0.2}, {'HP:0012286': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.7}, {'HP:0000980': 0.5}, {'HP:0001067': 1.0}, {'HP:0007663': 0.2}, {'HP:0009733': 0.2}, {'HP:0000822': 0.9}]	[{'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.7}, {'Pallor': 0.5}, {'Neurofibromas': 1.0}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.2}, {'Hypertension': 0.9}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
