#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
2261	FGFR3	1	9.04	[{'HP:0004626': 0.7}, {'HP:0012418': 0.5}, {'HP:0002650': 0.8}, {'HP:0001382': 0.5}, {'HP:0002360': 0.9}, {'HP:0000010': 0.5}, {'HP:0002019': 0.2}, {'HP:0001999': 0.4}, {'HP:0001250': 0.2}, {'HP:0012514': 0.5}, {'HP:0004396': 0.2}, {'HP:0001760': 0.5}]	[{'Lumbar scoliosis': 0.7}, {'Hypoxemia': 0.5}, {'Scoliosis': 0.8}, {'Joint hypermobility': 0.5}, {'Sleep disturbance': 0.9}, {'Recurrent urinary tract infections': 0.5}, {'Constipation': 0.2}, {'Abnormal facial shape': 0.4}, {'Seizure': 0.2}, {'Lower limb pain': 0.5}, {'Poor appetite': 0.2}, {'Abnormal foot morphology': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4000	LMNA	2	8.22	[{'HP:0004626': 0.2}, {'HP:0002650': 0.4}, {'HP:0001382': 0.7}, {'HP:0002360': 0.4}, {'HP:0004942': 0.7}, {'HP:0030148': 0.2}, {'HP:0001999': 0.6}, {'HP:0012514': 0.2}, {'HP:0001760': 0.7}, {'HP:0001315': 0.7}]	[{'Lumbar scoliosis': 0.2}, {'Scoliosis': 0.4}, {'Joint hypermobility': 0.7}, {'Sleep disturbance': 0.4}, {'Aortic aneurysm': 0.7}, {'Heart murmur': 0.2}, {'Abnormal facial shape': 0.6}, {'Lower limb pain': 0.2}, {'Abnormal foot morphology': 0.7}, {'Reduced tendon reflexes': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
673	BRAF	3	7.3	[{'HP:0004626': 0.2}, {'HP:0012418': 0.2}, {'HP:0002650': 0.4}, {'HP:0001382': 0.5}, {'HP:0002360': 0.4}, {'HP:0004942': 0.2}, {'HP:0000010': 0.2}, {'HP:0002019': 0.5}, {'HP:0001999': 0.4}, {'HP:0001250': 0.3}, {'HP:0012514': 0.2}, {'HP:0004396': 0.2}, {'HP:0001760': 0.4}, {'HP:0001315': 0.2}]	[{'Lumbar scoliosis': 0.2}, {'Hypoxemia': 0.2}, {'Scoliosis': 0.4}, {'Joint hypermobility': 0.5}, {'Sleep disturbance': 0.4}, {'Aortic aneurysm': 0.2}, {'Recurrent urinary tract infections': 0.2}, {'Constipation': 0.5}, {'Abnormal facial shape': 0.4}, {'Seizure': 0.3}, {'Lower limb pain': 0.2}, {'Poor appetite': 0.2}, {'Abnormal foot morphology': 0.4}, {'Reduced tendon reflexes': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3845	KRAS	4	7.26	[{'HP:0004626': 0.2}, {'HP:0012418': 0.2}, {'HP:0002650': 0.4}, {'HP:0001382': 0.5}, {'HP:0002360': 0.2}, {'HP:0004942': 0.2}, {'HP:0000010': 0.5}, {'HP:0002019': 0.5}, {'HP:0001999': 0.4}, {'HP:0001250': 0.2}, {'HP:0012514': 0.2}, {'HP:0004396': 0.5}, {'HP:0001760': 0.2}, {'HP:0001315': 0.2}]	[{'Lumbar scoliosis': 0.2}, {'Hypoxemia': 0.2}, {'Scoliosis': 0.4}, {'Joint hypermobility': 0.5}, {'Sleep disturbance': 0.2}, {'Aortic aneurysm': 0.2}, {'Recurrent urinary tract infections': 0.5}, {'Constipation': 0.5}, {'Abnormal facial shape': 0.4}, {'Seizure': 0.2}, {'Lower limb pain': 0.2}, {'Poor appetite': 0.5}, {'Abnormal foot morphology': 0.2}, {'Reduced tendon reflexes': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2200	FBN1	5	7.24	[{'HP:0004626': 0.2}, {'HP:0012418': 0.5}, {'HP:0002650': 0.6}, {'HP:0001382': 0.7}, {'HP:0002360': 0.2}, {'HP:0004942': 0.9}, {'HP:0030148': 0.5}, {'HP:0001999': 0.2}, {'HP:0004396': 0.2}, {'HP:0001760': 0.2}, {'HP:0001315': 0.4}]	[{'Lumbar scoliosis': 0.2}, {'Hypoxemia': 0.5}, {'Scoliosis': 0.6}, {'Joint hypermobility': 0.7}, {'Sleep disturbance': 0.2}, {'Aortic aneurysm': 0.9}, {'Heart murmur': 0.5}, {'Abnormal facial shape': 0.2}, {'Poor appetite': 0.2}, {'Abnormal foot morphology': 0.2}, {'Reduced tendon reflexes': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2316	FLNA	6	6.94	[{'HP:0004626': 0.2}, {'HP:0002650': 0.4}, {'HP:0001382': 0.9}, {'HP:0004942': 0.9}, {'HP:0002019': 0.9}, {'HP:0030148': 0.2}, {'HP:0001999': 0.6}, {'HP:0001250': 0.2}, {'HP:0001760': 0.4}]	[{'Lumbar scoliosis': 0.2}, {'Scoliosis': 0.4}, {'Joint hypermobility': 0.9}, {'Aortic aneurysm': 0.9}, {'Constipation': 0.9}, {'Heart murmur': 0.2}, {'Abnormal facial shape': 0.6}, {'Seizure': 0.2}, {'Abnormal foot morphology': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4204	MECP2	7	6.42	[{'HP:0004626': 0.2}, {'HP:0012418': 0.2}, {'HP:0002650': 0.6}, {'HP:0002360': 0.7}, {'HP:0000010': 0.2}, {'HP:0002019': 0.7}, {'HP:0001999': 0.2}, {'HP:0001250': 0.3}, {'HP:0012514': 0.2}, {'HP:0001760': 0.2}, {'HP:0001315': 0.2}]	[{'Lumbar scoliosis': 0.2}, {'Hypoxemia': 0.2}, {'Scoliosis': 0.6}, {'Sleep disturbance': 0.7}, {'Recurrent urinary tract infections': 0.2}, {'Constipation': 0.7}, {'Abnormal facial shape': 0.2}, {'Seizure': 0.3}, {'Lower limb pain': 0.2}, {'Abnormal foot morphology': 0.2}, {'Reduced tendon reflexes': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2629	GBA	8	6.25	[{'HP:0004626': 0.2}, {'HP:0002650': 0.2}, {'HP:0002360': 0.4}, {'HP:0004942': 0.5}, {'HP:0002019': 0.7}, {'HP:0001999': 0.4}, {'HP:0001250': 0.2}, {'HP:0012514': 0.5}, {'HP:0001760': 0.2}, {'HP:0001315': 0.4}]	[{'Lumbar scoliosis': 0.2}, {'Scoliosis': 0.2}, {'Sleep disturbance': 0.4}, {'Aortic aneurysm': 0.5}, {'Constipation': 0.7}, {'Abnormal facial shape': 0.4}, {'Seizure': 0.2}, {'Lower limb pain': 0.5}, {'Abnormal foot morphology': 0.2}, {'Reduced tendon reflexes': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5290	PIK3CA	9	6.22	[{'HP:0004626': 0.5}, {'HP:0012418': 0.2}, {'HP:0002650': 0.4}, {'HP:0001382': 0.5}, {'HP:0002360': 0.4}, {'HP:0000010': 0.2}, {'HP:0002019': 0.2}, {'HP:0001999': 0.2}, {'HP:0001250': 0.3}, {'HP:0012514': 0.2}, {'HP:0004396': 0.2}, {'HP:0001760': 0.5}, {'HP:0001315': 0.2}]	[{'Lumbar scoliosis': 0.5}, {'Hypoxemia': 0.2}, {'Scoliosis': 0.4}, {'Joint hypermobility': 0.5}, {'Sleep disturbance': 0.4}, {'Recurrent urinary tract infections': 0.2}, {'Constipation': 0.2}, {'Abnormal facial shape': 0.2}, {'Seizure': 0.3}, {'Lower limb pain': 0.2}, {'Poor appetite': 0.2}, {'Abnormal foot morphology': 0.5}, {'Reduced tendon reflexes': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3265	HRAS	10	6.18	[{'HP:0004626': 0.2}, {'HP:0012418': 0.2}, {'HP:0002650': 0.4}, {'HP:0001382': 0.5}, {'HP:0002360': 0.4}, {'HP:0004942': 0.2}, {'HP:0000010': 0.5}, {'HP:0030148': 0.2}, {'HP:0001999': 0.4}, {'HP:0001250': 0.2}, {'HP:0001760': 0.2}, {'HP:0001315': 0.4}]	[{'Lumbar scoliosis': 0.2}, {'Hypoxemia': 0.2}, {'Scoliosis': 0.4}, {'Joint hypermobility': 0.5}, {'Sleep disturbance': 0.4}, {'Aortic aneurysm': 0.2}, {'Recurrent urinary tract infections': 0.5}, {'Heart murmur': 0.2}, {'Abnormal facial shape': 0.4}, {'Seizure': 0.2}, {'Abnormal foot morphology': 0.2}, {'Reduced tendon reflexes': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
